ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
ICH2_Ctrl,6,OFEV,218,2024-05-28T11:00:00,2024-12-31T11:00:00,0.9504786004590388,0.9291121736569776,13.86574505110518,-10.255023259930963,0.0,2.2265156641259343,10.255023259930963,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,6,Hydrique_ML,425,2024-05-28T12:00:00,2024-12-31T12:00:00,0.8133270366265167,0.7850768337992633,25.583686372574213,-36.812708334004,-18.0,-8.336789547838455,45.53557986087364,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,6,Hydrique_Curve,428,2024-05-28T12:00:00,2024-12-31T12:00:00,0.8107966782690306,0.8934282781605194,25.735039371407886,-32.82939738366965,-18.0,-8.079492963484514,36.282491366851346,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,6,SIG_CNR,218,2024-05-28T15:00:00,2024-12-31T14:00:00,0.9079705439024529,0.9539795155048264,18.7878647621604,,,,19.105438979016228,0.0,1.0,0.0,,,,,,,TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,12,OFEV,218,2024-05-28T17:00:00,2024-12-31T17:00:00,0.8690147520895392,0.9300793183828759,20.694970739250767,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,12,Hydrique_ML,425,2024-05-28T18:00:00,2024-12-31T18:00:00,0.8406939311497266,0.8394904881413467,22.69552840927457,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,12,Hydrique_Curve,428,2024-05-28T18:00:00,2024-12-31T18:00:00,0.8242465507499125,0.9124535031090227,23.80814045780894,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,12,SIG_CNR,218,2024-05-28T21:00:00,2024-12-31T20:00:00,0.8502723697042933,0.9026013969241531,21.36771400153158,,,,,,1.0,0.0,,,,,,,NO_OBS_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,24,OFEV,217,2024-05-29T05:00:00,2024-12-31T05:00:00,0.8177621439583581,0.8971083105979644,24.496023281625266,-15.258539160613607,0.0,-2.911921406719749,15.258539160613607,0.0,,0.0,,,,,,,NO_SIM_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,24,Hydrique_ML,424,2024-05-29T06:00:00,2024-12-31T18:00:00,0.7875630736764948,0.8382819818906766,26.117176382330896,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,24,Hydrique_Curve,427,2024-05-29T06:00:00,2024-12-31T18:00:00,0.7572104471526405,0.8770242762618347,28.153269082927206,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,24,SIG_CNR,217,2024-05-29T09:00:00,2024-12-31T07:00:00,0.8398130985106679,0.9156428965860656,23.175840273076602,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,36,OFEV,217,2024-05-29T17:00:00,2024-12-31T17:00:00,0.7645006541507766,0.8392962055669055,27.823600250868374,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,36,Hydrique_ML,423,2024-05-29T18:00:00,2024-12-31T18:00:00,0.756216121268127,0.8143540878089229,28.130887274615812,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,36,Hydrique_Curve,426,2024-05-29T18:00:00,2024-12-31T18:00:00,0.6837753851527395,0.8392253882004506,32.170130098562844,,,,,,1.0,0.0,,,,,,,NO_OBS_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,36,SIG_CNR,217,2024-05-29T21:00:00,2024-12-31T19:00:00,0.7802923258008658,0.8891890173824808,26.001017549584464,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,48,OFEV,216,2024-05-30T05:00:00,2024-12-31T05:00:00,0.3997375117275055,0.7109367198003104,44.47677930062821,-60.07756448152766,48.0,-35.33068824393139,70.43303191061497,0.0,1.0,0.0,,,,,,,TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,48,Hydrique_ML,422,2024-05-30T06:00:00,2024-12-31T18:00:00,0.7372386431379552,0.7537768319443252,29.422218286327855,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,48,Hydrique_Curve,425,2024-05-30T06:00:00,2024-12-31T18:00:00,0.6489443804539576,0.8183533552482015,33.95201983552192,,,,,,1.0,0.0,,,,,,,NO_OBS_EVENTS|TOO_FEW_HIGH_FLOW_POINTS
ICH2_Ctrl,48,SIG_CNR,216,2024-05-30T09:00:00,2024-12-31T08:00:00,0.8220698386809988,0.9043478878054843,24.345308534424387,,,,,,,,,,,,,,NO_OBS_EVENTS|NO_SIM_EVENTS|NO_EVENTS_ANY|TOO_FEW_HIGH_FLOW_POINTS
