ofev_model,lead_time,model,N_rows,coverage_start,coverage_end,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%,problem_reason
NORAIN,6,OFEV,1894,2020-09-15T13:00:00,2024-12-31T11:00:00,0.8738749258427073,0.7907063273333415,25.488398304675005,-18.241815785948944,0.0,-19.706639595009186,23.081500158870774,0.5,0.16666666666666666,0.45454545454545453,-0.4004849265007513,0.4538787612703683,141.70272154984977,-38.25948324982659,0.0,-24.26581208753648,
NORAIN,6,Hydrique_ML,3066,2020-09-16T00:00:00,2024-12-31T12:00:00,0.8151843399482076,0.8399453109640493,26.812633292452563,-32.619751463277844,0.0,-14.170916814766658,33.67904901600552,0.2727272727272727,0.25,0.25,-1.911445668287819,0.482932371054958,197.27248920207336,-33.75810429919726,-8.0,-34.00419912894262,
NORAIN,6,Hydrique_Curve,3071,2020-09-16T00:00:00,2024-12-31T12:00:00,0.9224263430075559,0.9560873229384701,17.332900357235218,-7.844999305797017,0.0,-2.0153068890106525,13.077205711790151,0.6363636363636364,0.125,0.5833333333333334,0.5264728824210332,0.6009919117069988,79.5581374159667,2.7142006025537646,-8.0,-5.941335935594777,
NORAIN,12,OFEV,1894,2020-09-15T19:00:00,2024-12-31T17:00:00,0.6590219000952284,0.5944012306288171,40.58611212706124,-48.06727960553648,8.5,-40.61336113613568,53.45251401445847,0.0,,0.0,-14.54506977611483,0.25938644395257815,264.4719275972961,-52.52429689515782,-4.333333333333333,-53.46426756405327,NO_SIM_EVENTS
NORAIN,12,Hydrique_ML,3066,2020-09-16T06:00:00,2024-12-31T18:00:00,0.8054541458810706,0.8390730746145824,27.418992005737064,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863667,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572,
NORAIN,12,Hydrique_Curve,3071,2020-09-16T06:00:00,2024-12-31T18:00:00,0.8772542619810839,0.9216818818696124,21.671853469341414,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249,
NORAIN,24,OFEV,1893,2020-09-16T07:00:00,2024-12-31T05:00:00,0.39341631445993663,0.38343099015291726,56.09322185283514,-62.95663402839677,24.0,-54.86889040375857,71.55681888114306,0.0,,0.0,-5.8956564697551554,-0.14662170959746357,399.1045452207725,-76.59085353322676,20.0,-72.43924713588154,NO_SIM_EVENTS
NORAIN,24,Hydrique_ML,3065,2020-09-16T18:00:00,2024-12-31T18:00:00,0.7652317151623392,0.7828530192032478,29.939760009621622,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123,
NORAIN,24,Hydrique_Curve,3070,2020-09-16T18:00:00,2024-12-31T18:00:00,0.8384958777519027,0.8851559696310122,24.712049577183343,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.756294457434155,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643,
NORAIN,48,OFEV,1892,2020-09-17T07:00:00,2024-12-31T05:00:00,0.22429432555948015,0.2517035787326345,61.065452578672705,-74.74424009716485,48.0,-67.05285411781006,77.36863616048218,0.0,,0.0,-6.782896039258407,-0.32190473844420064,424.6025782064046,-83.0377575066964,-21.0,-78.2913543666222,NO_SIM_EVENTS
NORAIN,48,Hydrique_ML,3063,2020-09-17T18:00:00,2024-12-31T18:00:00,0.7151356856493734,0.7565893423692047,33.20687125306706,-37.76223339054466,0.0,-26.514281834108623,40.41421016863905,0.25,0.3333333333333333,0.2222222222222222,-2.0981884940580637,0.2104333051116699,257.0513481231643,-50.84003708597491,-6.0,-41.851915530697305,
NORAIN,48,Hydrique_Curve,3068,2020-09-17T18:00:00,2024-12-31T18:00:00,0.7680615643674192,0.8205961874001434,29.735008669690256,-28.261813414716123,0.0,-13.18012527029218,26.033033675771488,0.375,0.25,0.3333333333333333,-0.28250913453586657,0.6177026378980525,167.64008194255382,-36.039953669483374,0.0,-25.894708861368095,
