model,issue_time,valid_time,lead_time_h,source_path,H_e01,H_e02,H_e03,H_e04,H_e05,H_e06,H_e07,H_e08,H_e09,H_e10,H_e11,H_e12,H_e13,H_e14,H_e15,H_e16,H_e17,H_e18,H_e19,H_e20,Q_e01,Q_e02,Q_e03,Q_e04,Q_e05,Q_e06,Q_e07,Q_e08,Q_e09,Q_e10,Q_e11,Q_e12,Q_e13,Q_e14,Q_e15,Q_e16,Q_e17,Q_e18,Q_e19,Q_e20,H_min,H_p25,H_p50,H_p75,H_max,Q_min,Q_p25,Q_p50,Q_p75,Q_max,H_ctl,Q_ctl
COSMOE,2020-06-11 06:24:00,2020-06-11 12:00:00,6,2020.zip::2020/2020061107_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,114.5,114.5,114.6,114.5,114.6,114.5,114.5,114.5,114.6,114.5,114.6,114.5,114.5,114.5,114.5,114.5,114.6,114.5,114.5,114.5,379.94,379.94,379.94,379.94,379.94,114.5,114.5,114.5,114.6,114.6,,
COSMOE,2020-06-12 06:58:00,2020-06-12 13:00:00,6,2020.zip::2020/2020061208_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.87,379.86,379.86,379.86,379.87,379.86,379.86,379.86,379.86,379.86,379.9,379.86,379.86,379.88,379.87,379.86,379.86,379.86,379.87,379.87,104.6,104.1,104.2,104.0,104.7,104.1,103.9,104.1,104.1,104.0,108.5,104.1,103.9,106.6,104.3,104.0,104.2,104.2,105.2,105.1,379.86,379.86,379.86,379.87,379.9,103.9,104.0,104.1,104.6,108.5,,
COSMOE,2020-06-13 05:47:00,2020-06-13 12:00:00,6,2020.zip::2020/2020061307_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,90.6,90.7,90.8,90.7,90.8,90.7,91.2,91.0,90.8,91.2,90.6,90.7,91.2,91.1,90.8,90.6,90.7,90.8,91.0,90.8,379.76,379.76,379.76,379.76,379.76,90.6,90.7,90.8,91.0,91.2,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061319_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.0,79.4,84.1,78.9,91.4,89.4,79.4,79.4,81.8,80.1,86.7,79.8,87.0,79.2,84.2,79.0,82.2,92.2,79.1,82.6,379.66,379.67,379.69,379.72,379.77,78.9,79.4,82.0,86.1,92.2,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061321_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,83.0,79.4,84.1,78.9,91.4,89.4,79.4,79.4,81.8,80.1,86.7,79.8,87.0,79.2,84.2,79.0,82.2,92.2,79.1,82.6,379.66,379.67,379.69,379.72,379.77,78.9,79.4,82.0,86.1,92.2,,
COSMOE,2020-06-14 06:20:00,2020-06-14 12:00:00,6,2020.zip::2020/2020061407_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.85,379.86,379.87,379.84,379.81,379.86,379.82,379.99,379.83,379.84,379.81,379.84,379.84,379.91,379.84,379.85,379.82,379.84,379.84,379.83,101.8,103.9,105.4,100.5,97.9,103.3,98.4,120.3,99.6,100.6,97.7,100.9,101.2,110.6,101.2,101.7,97.9,101.5,100.5,99.8,379.81,379.83,379.84,379.85,379.99,97.7,99.6,101.0,102.9,120.3,,
COSMOE,2020-06-15 06:23:00,2020-06-15 12:00:00,6,2020.zip::2020/2020061507_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,84.8,84.7,84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.7,84.9,85.0,84.7,84.8,84.8,84.7,84.8,84.8,84.8,84.8,379.71,379.71,379.71,379.71,379.71,84.7,84.8,84.8,84.8,85.0,,
COSMOE,2020-06-16 05:54:00,2020-06-16 12:00:00,6,2020.zip::2020/2020061606_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,85.0,84.9,85.0,84.9,84.9,85.5,85.0,85.0,85.3,84.9,84.9,84.9,85.0,85.0,85.5,84.9,85.0,85.1,84.9,84.9,379.71,379.71,379.71,379.71,379.72,84.9,84.9,85.0,85.0,85.5,,
COSMOE,2020-06-17 05:42:00,2020-06-17 12:00:00,6,2020.zip::2020/2020061706_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.71,380.28,380.45,380.46,380.3,380.18,380.29,380.18,380.3,380.36,380.53,381.0,380.61,380.44,380.14,380.14,380.15,381.05,380.41,380.15,227.7,160.5,185.7,187.2,164.0,147.2,162.9,146.7,163.5,172.7,199.1,278.7,212.3,185.2,141.2,141.2,143.0,288.8,180.6,142.2,380.14,380.18,380.33,380.51,381.05,141.2,146.9,168.4,196.2,288.8,,
COSMOE,2020-06-17 10:57:00,2020-06-17 17:00:00,6,2020.zip::2020/2020061712_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.15,380.14,380.15,380.15,380.15,380.14,380.14,380.18,380.16,380.15,380.2,380.15,380.17,380.16,380.15,380.15,380.15,380.15,380.15,380.16,142.1,141.6,142.5,142.4,142.0,141.4,141.5,145.9,143.9,142.7,149.2,142.2,145.9,144.4,142.6,141.7,142.8,142.5,141.8,143.1,380.14,380.15,380.15,380.16,380.2,141.4,141.9,142.5,143.7,149.2,,
