model,issue_time,valid_time,lead_time_h,source_path,H_e01,H_e02,H_e03,H_e04,H_e05,H_e06,H_e07,H_e08,H_e09,H_e10,H_e11,H_e12,H_e13,H_e14,H_e15,H_e16,H_e17,H_e18,H_e19,H_e20,Q_e01,Q_e02,Q_e03,Q_e04,Q_e05,Q_e06,Q_e07,Q_e08,Q_e09,Q_e10,Q_e11,Q_e12,Q_e13,Q_e14,Q_e15,Q_e16,Q_e17,Q_e18,Q_e19,Q_e20,H_min,H_p25,H_p50,H_p75,H_max,Q_min,Q_p25,Q_p50,Q_p75,Q_max,H_ctl,Q_ctl
COSMOE,2020-06-11 06:24:00,2020-06-11 12:00:00,6,2020.zip::2020/2020061107_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,379.94,39.52499999998295,39.52499999998295,339.52499999996587,39.52499999998295,339.52499999996587,39.52499999998295,39.52499999998295,39.52499999998295,339.52499999996587,39.52499999998295,339.52499999996587,39.52499999998295,39.52499999998295,39.52499999998295,39.52499999998295,39.52499999998295,339.52499999996587,39.52499999998295,39.52499999998295,39.52499999998295,379.94,379.94,379.94,379.94,379.94,39.52499999998295,39.52499999998295,39.52499999998295,114.52499999997869,339.52499999996587,,
COSMOE,2020-06-12 06:58:00,2020-06-12 13:00:00,6,2020.zip::2020/2020061208_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.87,379.86,379.86,379.86,379.87,379.86,379.86,379.86,379.86,379.86,379.9,379.86,379.86,379.88,379.87,379.86,379.86,379.86,379.87,379.87,119.59499999998636,-1380.4050000000136,-1080.4049999999881,-1680.4049999999966,419.59500000001196,-1380.4050000000136,-1980.4049999999795,-1380.4050000000136,-1380.4050000000136,-1680.4049999999966,11819.595000000003,-1380.4050000000136,-1980.4049999999795,6119.594999999987,-780.4050000000051,-1680.4049999999966,-1080.4049999999881,-1080.4049999999881,1919.5950000000119,1619.5949999999864,379.86,379.86,379.86,379.87,379.9,-1980.4049999999795,-1455.4050000000093,-1230.4050000000009,194.59499999999275,11819.595000000003,,
COSMOE,2020-06-13 05:47:00,2020-06-13 12:00:00,6,2020.zip::2020/2020061307_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,379.76,-629.1600000000273,-329.1600000000017,-29.160000000018755,-329.1600000000017,-29.160000000018755,-329.1600000000017,1170.839999999998,570.8399999999898,-29.160000000018755,1170.839999999998,-629.1600000000273,-329.1600000000017,1170.839999999998,870.8399999999727,-29.160000000018755,-629.1600000000273,-329.1600000000017,-29.160000000018755,570.8399999999898,-29.160000000018755,379.76,379.76,379.76,379.76,379.76,-629.1600000000273,-329.1600000000017,-29.160000000018755,570.8399999999898,1170.839999999998,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061319_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,247.94500000002046,-10552.054999999962,3547.945000000004,-12052.054999999962,25447.945000000036,19447.945000000036,-10552.054999999962,-10552.054999999962,-3352.054999999988,-8452.054999999997,11347.945000000029,-9352.054999999988,12247.94500000002,-11152.054999999971,3847.9450000000293,-11752.05499999998,-2152.0549999999707,27847.94500000003,-11452.054999999997,-952.0549999999967,379.66,379.67,379.69,379.72,379.77,-12052.054999999962,-10552.054999999962,-2752.0549999999794,5722.945000000029,27847.94500000003,,
COSMOE,2020-06-13 10:48:00,2020-06-13 17:00:00,6,2020.zip::2020/2020061321_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.7,379.67,379.7,379.66,379.76,379.75,379.67,379.67,379.69,379.67,379.73,379.67,379.73,379.66,379.7,379.66,379.69,379.77,379.66,379.69,247.94500000002046,-10552.054999999962,3547.945000000004,-12052.054999999962,25447.945000000036,19447.945000000036,-10552.054999999962,-10552.054999999962,-3352.054999999988,-8452.054999999997,11347.945000000029,-9352.054999999988,12247.94500000002,-11152.054999999971,3847.9450000000293,-11752.05499999998,-2152.0549999999707,27847.94500000003,-11452.054999999997,-952.0549999999967,379.66,379.67,379.69,379.72,379.77,-12052.054999999962,-10552.054999999962,-2752.0549999999794,5722.945000000029,27847.94500000003,,
COSMOE,2020-06-14 06:20:00,2020-06-14 12:00:00,6,2020.zip::2020/2020061407_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.85,379.86,379.87,379.84,379.81,379.86,379.82,379.99,379.83,379.84,379.81,379.84,379.84,379.91,379.84,379.85,379.82,379.84,379.84,379.83,-1202.765000000007,5097.235000000019,9597.235000000019,-5102.7649999999985,-12902.764999999981,3297.2349999999933,-11402.764999999981,54297.23499999999,-7802.765000000016,-4802.765000000016,-13502.764999999989,-3902.7649999999812,-3002.76499999999,25197.234999999986,-3002.76499999999,-1502.7649999999899,-12902.764999999981,-2102.764999999998,-5102.7649999999985,-7202.765000000008,379.81,379.83,379.84,379.85,379.99,-13502.764999999989,-7352.765000000009,-3452.764999999986,-77.76500000000692,54297.23499999999,,
COSMOE,2020-06-15 06:23:00,2020-06-15 12:00:00,6,2020.zip::2020/2020061507_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,99.79500000002898,-200.20499999995397,99.79500000002898,99.79500000002898,99.79500000002898,99.79500000002898,99.79500000002898,99.79500000002898,99.79500000002898,-200.20499999995397,399.79500000005453,699.7950000000375,-200.20499999995397,99.79500000002898,99.79500000002898,-200.20499999995397,99.79500000002898,99.79500000002898,99.79500000002898,99.79500000002898,379.71,379.71,379.71,379.71,379.71,-200.20499999995397,99.79500000002898,99.79500000002898,99.79500000002898,699.7950000000375,,
COSMOE,2020-06-16 05:54:00,2020-06-16 12:00:00,6,2020.zip::2020/2020061606_pqprevi.zip::Pqprevi_COSMOE_2170.txt,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.71,379.72,379.71,379.71,379.71,379.71,379.71,10.024999999982953,-289.975,10.024999999982953,-289.975,-289.975,1510.024999999983,10.024999999982953,10.024999999982953,910.0249999999744,-289.975,-289.975,-289.975,10.024999999982953,10.024999999982953,1510.024999999983,-289.975,10.024999999982953,310.02499999996587,-289.975,-289.975,379.71,379.71,379.71,379.71,379.72,-289.975,-289.975,10.024999999982953,10.024999999982953,1510.024999999983,,
COSMOE,2020-06-17 05:42:00,2020-06-17 12:00:00,6,2020.zip::2020/2020061706_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.71,380.28,380.45,380.46,380.3,380.18,380.29,380.18,380.3,380.36,380.53,381.0,380.61,380.44,380.14,380.14,380.15,381.05,380.41,380.15,138721.51999999993,-62878.48000000003,12721.519999999935,17221.519999999935,-52378.48000000003,-102778.48000000005,-55678.48000000002,-104278.48000000005,-53878.48000000003,-26278.480000000065,52921.519999999946,291721.51999999996,92521.52,11221.519999999935,-120778.48000000005,-120778.48000000005,-115378.48000000003,322021.52,-2578.4800000000478,-117778.48000000005,380.14,380.18,380.33,380.51,381.05,-120778.48000000005,-103153.48000000005,-39328.48000000005,26146.51999999994,322021.52,,
COSMOE,2020-06-17 10:57:00,2020-06-17 17:00:00,6,2020.zip::2020/2020061712_pqprevi.zip::Pqprevi_COSMOE_2170.txt,380.15,380.14,380.15,380.15,380.15,380.14,380.14,380.18,380.16,380.15,380.2,380.15,380.17,380.16,380.15,380.15,380.15,380.15,380.15,380.16,-2886.890000000058,-4386.8900000000585,-1686.8900000000408,-1986.8900000000235,-3186.890000000041,-4986.890000000024,-4686.890000000041,8513.109999999977,2513.1099999999765,-1086.890000000075,18413.109999999924,-2586.890000000075,8513.109999999977,4013.1099999999765,-1386.890000000058,-4086.8900000000745,-786.8900000000068,-1686.8900000000408,-3786.8900000000067,113.10999999994203,380.14,380.15,380.15,380.16,380.2,-4986.890000000024,-3336.890000000032,-1686.8900000000408,713.1099999999507,18413.109999999924,,
