model,issue_time,valid_time,lead_time_h,Q_min,Q_p25,Q_p50,Q_p75,Q_max
C1E,2020-09-15 06:33:00,2020-09-15 13:00:00,6,43.7,43.8,44.0,44.3,44.3
C1E,2020-09-15 17:15:00,2020-09-15 23:00:00,6,46.3,46.3,46.4,46.7,46.7
C1E,2020-09-16 06:04:00,2020-09-16 12:00:00,6,50.9,50.9,51.0,51.0,51.1
C1E,2020-09-17 06:11:00,2020-09-17 12:00:00,6,37.9,38.0,38.1,38.1,38.1
C1E,2020-09-18 06:01:00,2020-09-18 12:00:00,6,37.7,37.7,37.7,37.7,37.7
C1E,2020-09-19 06:21:00,2020-09-19 12:00:00,6,37.8,38.0,38.5,39.7,41.1
C1E,2020-09-20 06:22:00,2020-09-20 12:00:00,6,41.7,41.7,41.8,41.8,42.0
C1E,2020-09-21 06:23:00,2020-09-21 12:00:00,6,42.3,42.3,42.3,42.4,43.3
C1E,2020-09-22 04:29:00,2020-09-22 10:00:00,6,33.0,33.0,33.1,33.4,33.7
C1E,2020-09-23 06:26:00,2020-09-23 12:00:00,6,72.1,75.1,76.6,77.6,79.9
C1E,2020-09-24 06:24:00,2020-09-24 12:00:00,6,34.3,34.3,34.4,34.9,35.8
C1E,2020-09-25 04:30:00,2020-09-25 10:00:00,6,77.3,80.0,85.8,90.8,95.1
C1E,2020-09-25 04:30:00,2020-09-25 11:00:00,6,91.7,94.1,99.2,106.4,108.7
C1E,2020-09-25 15:32:00,2020-09-25 22:00:00,6,113.8,114.7,116.2,117.2,123.0
C1E,2020-09-26 04:33:00,2020-09-26 11:00:00,6,92.8,94.0,95.4,97.4,99.6
C1E,2020-09-26 10:20:00,2020-09-26 16:00:00,6,104.5,104.8,105.2,105.6,107.1
C1E,2020-09-27 04:30:00,2020-09-27 10:00:00,6,51.3,51.8,52.1,52.3,52.9
C1E,2020-09-27 04:30:00,2020-09-27 11:00:00,6,50.4,51.2,51.5,52.0,52.3
C1E,2020-09-28 04:32:00,2020-09-28 11:00:00,6,38.9,39.2,39.5,39.7,40.2
C1E,2020-09-29 06:46:00,2020-09-29 13:00:00,6,57.1,57.3,57.7,58.0,58.7
C1E,2020-09-30 06:37:00,2020-09-30 13:00:00,6,61.0,61.1,61.2,61.3,61.3
C1E,2020-09-30 10:19:00,2020-09-30 16:00:00,6,68.4,68.4,68.4,68.5,68.5
C1E,2020-10-01 06:21:00,2020-10-01 12:00:00,6,56.6,56.7,56.7,56.8,57.0
C1E,2020-10-01 10:22:00,2020-10-01 16:00:00,6,62.3,62.4,62.6,62.9,63.4
C1E,2020-10-02 05:54:00,2020-10-02 12:00:00,6,45.3,45.3,45.4,46.5,47.5
C1E,2020-10-02 14:11:00,2020-10-02 20:00:00,6,76.1,79.7,85.8,87.7,104.9
C1E,2020-10-02 21:43:00,2020-10-03 04:00:00,6,81.0,82.9,86.9,89.6,94.0
C1E,2020-10-03 05:51:00,2020-10-03 12:00:00,6,166.9,178.4,188.0,195.1,201.6
C1E,2020-10-03 10:21:00,2020-10-03 16:00:00,6,242.9,243.1,243.4,243.7,244.0
C1E,2020-10-03 15:32:00,2020-10-03 22:00:00,6,115.7,117.1,118.3,119.4,125.1
