lead_time,model,NSE,KGE,RMSE,REQ_%,TP_h,RER_%,MAPE_high_%,POD,FAR,CSI,NSE_high,KGE_high,RMSE_high,REQ_high_%,TP_high_h,RER_high_%
6,Hydrique_ML,0.814215962928502,0.8429488397700897,26.25715386548454,-32.619751463277844,0.0,-14.170916814766658,33.67904901600552,0.2727272727272727,0.25,0.25,-1.911445668287819,0.482932371054958,197.27248920207336,-33.75810429919726,-8.0,-34.00419912894262
6,Hydrique_physique,0.921261489445043,0.9556989177372339,17.060673564397135,-7.844999305797017,0.0,-2.0153068890106525,13.077205711790151,0.6363636363636364,0.125,0.5833333333333334,0.5264728824210332,0.6009919117069988,79.5581374159667,2.7142006025537646,-8.0,-5.941335935594777
6,SIG_CNR,0.9504018529191958,0.972819348216923,13.519990332856288,0.2677730119638807,0.0,-7.915398247612475,12.148277960094767,0.8333333333333334,0.5,0.45454545454545453,0.7654015725785944,0.88214894107555,68.08577485517534,-9.672965004807017,,-5.041799087532965
6,FOEN,0.910806829793926,0.9078829765672933,20.889517654177876,-6.762966858150936,0.0,-5.796405906922461,12.731917791411531,0.8181818181818182,0.0,0.8181818181818182,0.3419256073811634,0.4992426344429949,106.6543881263938,-33.1415140898128,-2.4,-11.545170462231948
12,Hydrique_ML,0.8047283425283434,0.8416517712164452,26.83085914350781,-34.44698677749143,0.0,-16.829720887853004,33.29065027489031,0.625,0.0,0.625,-1.0913894730539067,0.32818672111863667,211.19489992940805,-47.968737682086136,0.0,-30.633478660704572
12,Hydrique_physique,0.874642394035074,0.9215440305119917,21.398652287110014,2.0984934155634267,0.0,-2.6060535370677833,16.061004691513407,0.75,0.25,0.6,0.4021154648379137,0.7361383772343353,112.92097714470825,-25.56821589104377,0.0,-11.052690264675249
12,SIG_CNR,0.9075334163987866,0.9509169385251692,17.488780179043154,-13.73474994011453,22.0,-5.7979578269703,16.567747859425413,0.6666666666666666,0.2,0.5714285714285714,-1.4197613861994816,0.1724432865324318,103.56391597186627,-8.757908590505753,25.0,-6.7076828707745175
12,FOEN,0.861593300433545,0.9087577232917371,24.688888092426634,-15.783060645586858,0.0,-13.791846588046052,25.64356178061569,0.5714285714285714,0.5,0.36363636363636365,-2.715995327915498,-0.008054271108864697,140.98327088357243,17.65740632155883,-13.8,-14.782568777338495
24,Hydrique_ML,0.7632921610441729,0.7839057582451754,29.36544531202463,-44.247934822236175,0.0,-22.314434680541982,38.13224769731174,0.25,0.0,0.25,-1.676253772407359,0.2996107609846409,244.1751006265445,-52.941883029595324,0.0,-39.50386967178123
24,Hydrique_physique,0.8351563156757682,0.8859290015098368,24.39408997553662,-15.250991076008498,0.0,-8.677887941946434,14.644260548116925,0.625,0.0,0.625,0.4995708352391055,0.756294457434155,107.0264997226624,-25.842752501652495,0.0,-11.814803533353643
24,SIG_CNR,0.8752877446644463,0.8884702438467131,22.876401677730826,-22.227229145793114,0.0,-12.252834924330774,25.14828843287703,0.5555555555555556,0.0,0.5555555555555556,0.1783155895384091,0.65768867974706,166.42152201880486,-31.08027998719491,,-24.707844275138687
24,FOEN,0.8365598338859112,0.8826918929175245,28.05766295650761,-14.360045364466377,0.0,-11.42110597683861,19.457473671470794,0.5,0.5,0.3333333333333333,0.4275923134497943,0.7310834853827712,121.09056639438501,-15.91901937513713,-5.666666666666667,-11.940836487162748
36,Hydrique_ML,0.7449219068587312,0.7823022839505767,30.289748477189054,-42.99824139233773,0.0,-21.825446249552165,38.97675346431403,0.25,0.0,0.25,-1.5986969095621855,0.3403430055709695,237.79709545025793,-52.79047199045358,0.0,-39.8900698657119
36,Hydrique_physique,0.8058351223729217,0.8642760596294683,26.159083591230935,-18.993243850301525,0.0,-5.631894451584111,17.47414336173769,0.25,0.5,0.2,0.46813610421793705,0.802578703918221,110.16370631734829,-19.597123950303168,0.0,-15.561683876790983
36,SIG_CNR,0.84547995398474,0.908894367990643,22.55943782641685,-22.783552393948668,0.0,-13.300906289735027,21.44749808011131,0.3333333333333333,0.3333333333333333,0.2857142857142857,-1.9289693943474466,0.26236958934875365,117.64823146152557,-10.266042332811445,-24.0,-14.300678011349998
36,FOEN,0.8164872148558149,0.8559158211457911,25.414673607505836,-5.964759441258425,0.0,-13.874737029449168,20.021853042227768,0.6666666666666666,0.2,0.5714285714285714,-3.8673071871541236,-0.03751459832872173,122.55001851221776,4.597236180616583,-8.0,-15.871216184148878
48,Hydrique_ML,0.7139691339577687,0.7563930270110024,32.49799695773997,-37.76223339054466,0.0,-26.514281834108623,40.41421016863905,0.25,0.3333333333333333,0.2222222222222222,-2.0981884940580637,0.2104333051116699,257.0513481231643,-50.84003708597491,-6.0,-41.851915530697305
48,Hydrique_physique,0.7651158250021646,0.8213326734265161,29.235962944916697,-28.261813414716123,0.0,-13.18012527029218,26.033033675771488,0.375,0.25,0.3333333333333333,-0.28250913453586657,0.6177026378980525,167.64008194255382,-36.039953669483374,0.0,-25.894708861368095
48,SIG_CNR,0.8186919209817047,0.8394063850733764,27.524709455998412,-28.55006698199051,0.0,-18.873799511483483,30.38223140356119,0.4444444444444444,0.0,0.4444444444444444,-0.3199480109687194,0.4936280967130341,213.33242551627805,-44.2649220766011,,-30.004706331327704
48,FOEN,0.7769967057080243,0.8120188371347707,30.360680142232155,-32.69801807448648,0.0,-24.798918290139433,26.46046892358665,0.42857142857142855,0.25,0.375,-0.23854971718364704,0.3625490716583659,194.89296470409798,-41.112017912239345,-24.0,-26.73106064397223
